id,field,get_pv,set_pv
3,x,SR01C-DI-EBPM-01:SA:X,
3,y,SR01C-DI-EBPM-01:SA:Y,
5,b1,SR01A-PC-Q1D-01:I,SR01A-PC-Q1D-01:SETI
8,b2,SR01A-PC-S1D-01:I,SR01A-PC-S1D-01:SETI
9,b0,SR01A-PC-HSTR-01:I,SR01A-PC-HSTR-01:SETI
10,b0,SR01A-PC-VSTR-01:I,SR01A-PC-VSTR-01:SETI
13,b1,SR01A-PC-Q2D-02:I,SR01A-PC-Q2D-02:SETI
15,b1,SR01A-PC-Q3D-03:I,SR01A-PC-Q3D-03:SETI
18,b2,SR01A-PC-S2D-02:I,SR01A-PC-S2D-02:SETI
19,b0,SR01A-PC-HSTR-02:I,SR01A-PC-HSTR-02:SETI
20,b0,SR01A-PC-VSTR-02:I,SR01A-PC-VSTR-02:SETI
23,x,SR01C-DI-EBPM-02:SA:X,
23,y,SR01C-DI-EBPM-02:SA:Y,
25,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
27,b1,SR01A-PC-Q2AD-04:I,SR01A-PC-Q2AD-04:SETI
29,x,SR01C-DI-EBPM-03:SA:X,
29,y,SR01C-DI-EBPM-03:SA:Y,
32,b2,SR01A-PC-S2A-03:I,SR01A-PC-S2A-03:SETI
33,b0,SR01A-PC-HSTR-03:I,SR01A-PC-HSTR-03:SETI
34,b0,SR01A-PC-VSTR-03:I,SR01A-PC-VSTR-03:SETI
37,b1,SR01A-PC-Q1AD-05:I,SR01A-PC-Q1AD-05:SETI
39,x,SR01C-DI-EBPM-04:SA:X,
39,y,SR01C-DI-EBPM-04:SA:Y,
42,b2,SR01A-PC-S1A-04:I,SR01A-PC-S1A-04:SETI
43,b0,SR01A-PC-HSTR-04:I,SR01A-PC-HSTR-04:SETI
44,b0,SR01A-PC-VSTR-04:I,SR01A-PC-VSTR-04:SETI
47,b1,SR01A-PC-Q1AB-06:I,SR01A-PC-Q1AB-06:SETI
50,b2,SR01A-PC-S2A-05:I,SR01A-PC-S2A-05:SETI
51,b0,SR01A-PC-HSTR-05:I,SR01A-PC-HSTR-05:SETI
52,b0,SR01A-PC-VSTR-05:I,SR01A-PC-VSTR-05:SETI
55,b1,SR01A-PC-Q2AB-07:I,SR01A-PC-Q2AB-07:SETI
57,x,SR01C-DI-EBPM-05:SA:X,
57,y,SR01C-DI-EBPM-05:SA:Y,
59,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
62,b2,SR01A-PC-S2C-06:I,SR01A-PC-S2C-06:SETI
63,b0,SR01A-PC-HSTR-06:I,SR01A-PC-HSTR-06:SETI
64,b0,SR01A-PC-VSTR-06:I,SR01A-PC-VSTR-06:SETI
67,b1,SR01A-PC-Q3B-08:I,SR01A-PC-Q3B-08:SETI
69,x,SR01C-DI-EBPM-06:SA:X,
69,y,SR01C-DI-EBPM-06:SA:Y,
71,b1,SR01A-PC-Q2B-09:I,SR01A-PC-Q2B-09:SETI
74,b2,SR01A-PC-S1C-07:I,SR01A-PC-S1C-07:SETI
75,b0,SR01A-PC-HSTR-07:I,SR01A-PC-HSTR-07:SETI
76,b0,SR01A-PC-VSTR-07:I,SR01A-PC-VSTR-07:SETI
79,b1,SR01A-PC-Q1B-10:I,SR01A-PC-Q1B-10:SETI
81,x,SR01C-DI-EBPM-07:SA:X,
81,y,SR01C-DI-EBPM-07:SA:Y,
109,x,SR02C-DI-EBPM-01:SA:X,
109,y,SR02C-DI-EBPM-01:SA:Y,
113,b1,SR02A-PC-Q1BE-01:I,SR02A-PC-Q1BE-01:SETI
115,b2,SR02A-PC-S1BE-01:I,SR02A-PC-S1BE-01:SETI
116,b0,SR02A-PC-HSTR-01:I,SR02A-PC-HSTR-01:SETI
117,b0,SR02A-PC-VSTR-01:I,SR02A-PC-VSTR-01:SETI
119,b1,SR02A-PC-Q2BE-02:I,SR02A-PC-Q2BE-02:SETI
123,b2,SR02A-PC-S2BE-02:I,SR02A-PC-S2BE-02:SETI
127,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
134,x,SR02C-DI-EBPM-02:SA:X,
134,y,SR02C-DI-EBPM-02:SA:Y,
136,b2,SR02A-PC-S3E-03:I,SR02A-PC-S3E-03:SETI
138,b1,SR02A-PC-Q3E-03:I,SR02A-PC-Q3E-03:SETI
142,b2,SR02A-PC-S4E-04:I,SR02A-PC-S4E-04:SETI
143,b0,SR02A-PC-HSTR-04:I,SR02A-PC-HSTR-04:SETI
144,b0,SR02A-PC-VSTR-04:I,SR02A-PC-VSTR-04:SETI
146,b1,SR02A-PC-Q3E-04:I,SR02A-PC-Q3E-04:SETI
148,b2,SR02A-PC-S3E-05:I,SR02A-PC-S3E-05:SETI
149,b0,SR02A-PC-HSTR-05:I,SR02A-PC-HSTR-05:SETI
150,b0,SR02A-PC-VSTR-05:I,SR02A-PC-VSTR-05:SETI
154,x,SR02C-DI-EBPM-03:SA:X,
154,y,SR02C-DI-EBPM-03:SA:Y,
156,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
159,b0,SR02A-PC-HSCOR-01:I,SR02A-PC-HSCOR-01:SETI
160,b0,SR02A-PC-VSCOR-01:I,SR02A-PC-VSCOR-01:SETI
162,b1,SR02A-PC-Q4E-05:I,SR02A-PC-Q4E-05:SETI
167,x,SR02C-DI-EBPM-04:SA:X,
167,y,SR02C-DI-EBPM-04:SA:Y,
175,x,SR02C-DI-EBPM-05:SA:X,
175,y,SR02C-DI-EBPM-05:SA:Y,
177,b1,SR02A-PC-Q4E-06:I,SR02A-PC-Q4E-06:SETI
179,b0,SR02A-PC-HSCOR-02:I,SR02A-PC-HSCOR-02:SETI
180,b0,SR02A-PC-VSCOR-02:I,SR02A-PC-VSCOR-02:SETI
184,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
191,b2,SR02A-PC-S3E-06:I,SR02A-PC-S3E-06:SETI
193,b1,SR02A-PC-Q3E-07:I,SR02A-PC-Q3E-07:SETI
197,x,SR02C-DI-EBPM-06:SA:X,
197,y,SR02C-DI-EBPM-06:SA:Y,
199,b2,SR02A-PC-S4E-07:I,SR02A-PC-S4E-07:SETI
200,b0,SR02A-PC-HSTR-07:I,SR02A-PC-HSTR-07:SETI
201,b0,SR02A-PC-VSTR-07:I,SR02A-PC-VSTR-07:SETI
203,b1,SR02A-PC-Q3E-08:I,SR02A-PC-Q3E-08:SETI
205,b2,SR02A-PC-S3E-08:I,SR02A-PC-S3E-08:SETI
206,b0,SR02A-PC-HSTR-08:I,SR02A-PC-HSTR-08:SETI
207,b0,SR02A-PC-VSTR-08:I,SR02A-PC-VSTR-08:SETI
211,x,SR02C-DI-EBPM-07:SA:X,
211,y,SR02C-DI-EBPM-07:SA:Y,
213,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
218,b2,SR02A-PC-S2BE-09:I,SR02A-PC-S2BE-09:SETI
222,b1,SR02A-PC-Q2BE-09:I,SR02A-PC-Q2BE-09:SETI
226,b2,SR02A-PC-S1BE-10:I,SR02A-PC-S1BE-10:SETI
227,b0,SR02A-PC-HSTR-10:I,SR02A-PC-HSTR-10:SETI
228,b0,SR02A-PC-VSTR-10:I,SR02A-PC-VSTR-10:SETI
230,b1,SR02A-PC-Q1BE-10:I,SR02A-PC-Q1BE-10:SETI
