id,name,type,length
1,1,AP,0.000000
2,2,DRIFT,4.380000
3,3,BPM,0.000000
4,4,DRIFT,1.288300
5,5,QUAD,0.406400
6,6,DRIFT,0.146800
7,7,DRIFT,0.005000
8,8,SEXT,0.290000
9,9,HSTR,0.000000
10,10,VSTR,0.000000
11,11,DRIFT,0.005000
12,12,DRIFT,0.231850
13,13,QUAD,0.606300
14,14,DRIFT,0.458350
15,15,QUAD,0.307000
16,16,DRIFT,0.196500
17,17,DRIFT,0.005000
18,18,SEXT,0.290000
19,19,HSTR,0.000000
20,20,VSTR,0.000000
21,21,DRIFT,0.005000
22,22,DRIFT,0.185000
23,23,BPM,0.000000
24,24,DRIFT,0.484000
25,25,BEND,0.933000
26,26,DRIFT,0.585800
27,27,QUAD,0.406400
28,28,DRIFT,0.158300
29,29,BPM,0.000000
30,30,DRIFT,0.263500
31,31,DRIFT,0.005000
32,32,SEXT,0.190000
33,33,HSTR,0.000000
34,34,VSTR,0.000000
35,35,DRIFT,0.005000
36,36,DRIFT,0.195200
37,37,QUAD,0.407600
38,38,DRIFT,0.118700
39,39,BPM,0.000000
40,40,DRIFT,0.116000
41,41,DRIFT,0.005000
42,42,SEXT,0.290000
43,43,HSTR,0.000000
44,44,VSTR,0.000000
45,45,DRIFT,0.005000
46,46,DRIFT,0.234700
47,47,QUAD,0.407600
48,48,DRIFT,0.195200
49,49,DRIFT,0.005000
50,50,SEXT,0.190000
51,51,HSTR,0.000000
52,52,VSTR,0.000000
53,53,DRIFT,0.005000
54,54,DRIFT,0.421800
55,55,QUAD,0.406400
56,56,DRIFT,0.101800
57,57,BPM,0.000000
58,58,DRIFT,0.484000
59,59,BEND,0.933000
60,60,DRIFT,0.669000
61,61,DRIFT,0.005000
62,62,SEXT,0.290000
63,63,HSTR,0.000000
64,64,VSTR,0.000000
65,65,DRIFT,0.005000
66,66,DRIFT,0.196500
67,67,QUAD,0.307000
68,68,DRIFT,0.173000
69,69,BPM,0.000000
70,70,DRIFT,0.285350
71,71,QUAD,0.606300
72,72,DRIFT,0.231850
73,73,DRIFT,0.005000
74,74,SEXT,0.290000
75,75,HSTR,0.000000
76,76,VSTR,0.000000
77,77,DRIFT,0.005000
78,78,DRIFT,0.146800
79,79,QUAD,0.406400
80,80,DRIFT,1.288300
81,81,BPM,0.000000
82,82,DRIFT,0.002500
83,83,DRIFT,1.219500
84,84,DRIFT,0.050000
85,85,HCHICA,0.000000
86,86,DRIFT,0.050000
87,87,DRIFT,0.280500
88,88,DRIFT,0.150000
89,89,HTRIM,0.000000
90,90,VTRIM,0.000000
91,91,DRIFT,0.150000
92,92,DRIFT,0.977500
93,93,source,0.000000
94,94,DRIFT,0.977500
95,95,DRIFT,0.150000
96,96,HTRIM,0.000000
97,97,VTRIM,0.000000
98,98,DRIFT,0.150000
99,99,DRIFT,0.054000
100,100,DRIFT,0.050000
101,101,HCHICA,0.000000
102,102,DRIFT,0.050000
103,103,DRIFT,0.907000
104,104,DRIFT,0.050000
105,105,HCHICA,0.000000
106,106,DRIFT,0.050000
107,107,DRIFT,0.339000
108,108,DRIFT,0.002500
109,109,BPM,0.000000
110,110,DRIFT,0.366820
111,111,DRIFT,0.126181
112,112,DRIFT,0.050000
113,113,QUAD,0.250000
114,114,DRIFT,0.112500
115,115,SEXT,0.175000
116,116,HSTR,0.000000
117,117,VSTR,0.000000
118,118,DRIFT,0.172500
119,119,QUAD,0.250000
120,120,DRIFT,0.069280
121,121,DRIFT,0.100000
122,122,DRIFT,0.075000
123,123,SEXT,0.175000
124,124,DRIFT,0.075000
125,125,DRIFT,0.100000
126,126,DRIFT,0.112500
127,127,BEND,0.670431
128,128,DRIFT,0.185194
129,129,DRIFT,0.033729
130,130,DRIFT,0.025411
131,131,DRIFT,0.247889
132,132,DRIFT,0.003000
133,133,DRIFT,0.055324
134,134,BPM,0.000000
135,135,DRIFT,0.055173
136,136,SEXT,0.175000
137,137,DRIFT,0.088380
138,138,QUAD,0.250000
139,139,DRIFT,0.031123
140,140,DRIFT,0.003000
141,141,DRIFT,0.115877
142,142,SEXT,0.175000
143,143,HSTR,0.000000
144,144,VSTR,0.000000
145,145,DRIFT,0.150000
146,146,QUAD,0.250000
147,147,DRIFT,0.088380
148,148,SEXT,0.175000
149,149,HSTR,0.000000
150,150,VSTR,0.000000
151,151,DRIFT,0.042543
152,152,DRIFT,0.003000
153,153,DRIFT,0.112894
154,154,BPM,0.000000
155,155,DRIFT,0.229063
156,156,BEND,0.966928
157,157,DRIFT,0.068240
158,158,DRIFT,0.073540
159,159,HSTR,0.000000
160,160,VSTR,0.000000
161,161,DRIFT,0.096600
162,162,QUAD,0.250000
163,163,DRIFT,0.000010
164,164,DRIFT,0.000000
165,165,DRIFT,0.011240
166,166,DRIFT,0.206000
167,167,BPM,0.000000
168,168,DRIFT,0.114000
169,169,DRIFT,0.368750
170,170,DRIFT,1.000000
171,171,source,0.000000
172,172,DRIFT,1.000000
173,173,DRIFT,0.375420
174,174,DRIFT,0.107330
175,175,BPM,0.000000
176,176,DRIFT,0.217250
177,177,QUAD,0.250000
178,178,DRIFT,0.096600
179,179,HSTR,0.000000
180,180,VSTR,0.000000
181,181,DRIFT,0.036080
182,182,DRIFT,0.003000
183,183,DRIFT,0.102700
184,184,BEND,0.966928
185,185,DRIFT,0.037500
186,186,DRIFT,0.141042
187,187,DRIFT,0.033728
188,188,DRIFT,0.024583
189,189,DRIFT,0.038147
190,190,DRIFT,0.112500
191,191,SEXT,0.175000
192,192,DRIFT,0.088380
193,193,QUAD,0.250000
194,194,DRIFT,0.020890
195,195,DRIFT,0.003000
196,196,DRIFT,0.075286
197,197,BPM,0.000000
198,198,DRIFT,0.050824
199,199,SEXT,0.175000
200,200,HSTR,0.000000
201,201,VSTR,0.000000
202,202,DRIFT,0.150000
203,203,QUAD,0.250000
204,204,DRIFT,0.088380
205,205,SEXT,0.175000
206,206,HSTR,0.000000
207,207,VSTR,0.000000
208,208,DRIFT,0.269070
209,209,DRIFT,0.003000
210,210,DRIFT,0.103390
211,211,BPM,0.000000
212,212,DRIFT,0.230260
213,213,BEND,0.670431
214,214,DRIFT,0.112500
215,215,DRIFT,0.050309
216,216,DRIFT,0.049691
217,217,DRIFT,0.075000
218,218,SEXT,0.175000
219,219,DRIFT,0.075000
220,220,DRIFT,0.100000
221,221,DRIFT,0.069280
222,222,QUAD,0.250000
223,223,DRIFT,0.000559
224,224,DRIFT,0.003000
225,225,DRIFT,0.168941
226,226,SEXT,0.175000
227,227,HSTR,0.000000
228,228,VSTR,0.000000
229,229,DRIFT,0.112500
230,230,QUAD,0.250000
231,231,DRIFT,0.061559
232,232,DRIFT,0.003000
233,233,DRIFT,0.113000
234,234,DRIFT,0.048442
235,235,DRIFT,0.086001
236,236,DRIFT,0.130999
237,237,DRIFT,0.100000
238,238,BPM,0.000000
239,239,DRIFT,0.002500
240,240,DRIFT,1.119500
241,241,DRIFT,0.050000
242,242,HCHICA,0.000000
243,243,DRIFT,0.050000
244,244,DRIFT,0.281500
245,245,DRIFT,0.150000
246,246,HTRIM,0.000000
247,247,VTRIM,0.000000
248,248,DRIFT,0.150000
249,249,DRIFT,0.976500
250,250,source,0.000000
251,251,DRIFT,0.976500
252,252,DRIFT,0.150000
253,253,HTRIM,0.000000
254,254,VTRIM,0.000000
255,255,DRIFT,0.150000
256,256,DRIFT,0.055000
257,257,DRIFT,0.050000
258,258,HCHICA,0.000000
259,259,DRIFT,0.050000
260,260,DRIFT,0.907000
261,261,DRIFT,0.050000
262,262,HCHICA,0.000000
263,263,DRIFT,0.050000
264,264,DRIFT,0.439000
265,265,DRIFT,0.002500
266,266,BPM,0.000000
267,267,DRIFT,1.288300
268,268,QUAD,0.406400
269,269,DRIFT,0.146800
270,270,DRIFT,0.005000
271,271,SEXT,0.290000
272,272,HSTR,0.000000
273,273,VSTR,0.000000
274,274,DRIFT,0.005000
275,275,DRIFT,0.231850
276,276,QUAD,0.606300
277,277,DRIFT,0.458350
278,278,QUAD,0.307000
279,279,DRIFT,0.196500
