id,family
1,AP
2,D1D2
3,BPM
4,KD1
5,Q1D
6,D2B
7,DSEXT
8,S1D
8,SQUAD
9,HSTR
10,VSTR
11,DSEXT
12,D3B
13,Q2D
14,D4B
15,Q3D
16,D5B
17,DSEXT
18,S2D
19,HSTR
20,VSTR
21,DSEXT
22,D6Ba
23,BPM
24,D6Bb
25,BB
26,D4A
27,Q2AD
28,D3Aa
29,BPM
30,D3Ab
31,DSEXT
32,S2A
32,SQUAD
33,HSTR
34,VSTR
35,DSEXT
36,D2A
37,Q1AD
38,D1Aa
39,BPM
40,D1Ab
41,DSEXT
42,S1A
43,HSTR
44,VSTR
45,DSEXT
46,D1A
47,Q1AB
48,D2A
49,DSEXT
50,S2A
50,SQUAD
51,HSTR
52,VSTR
53,DSEXT
54,D3A
55,Q2AB
56,D4Aa
57,BPM
58,D4Ab
59,BB
60,D6B
61,DSEXT
62,S2C
63,HSTR
64,VSTR
65,DSEXT
66,D5B
67,Q3B
68,D4Ba
69,BPM
70,D4Bb
71,Q2B
72,D3B
73,DSEXT
74,S1C
74,SQUAD
75,HSTR
76,VSTR
77,DSEXT
78,D2B
79,Q1B
80,KD1
81,BPM
82,DBPM
83,DRIFT
84,DRIFT
85,HCHICA
86,DRIFT
87,DRIFT
88,DRIFT
89,HTRIM
90,VTRIM
91,DRIFT
92,U23a
93,source
94,U23a
95,DRIFT
96,HTRIM
97,VTRIM
98,DRIFT
99,DRIFT
100,DRIFT
101,HCHICA
102,DRIFT
103,DRIFT
104,DRIFT
105,HCHICA
106,DRIFT
107,DRIFT
108,DBPM
109,BPM
110,DK4BAS20
111,D2XL
112,D104BA0
113,Q1BE
114,D2B4BA
115,S1BE
115,SQUAD
116,HSTR
117,VSTR
118,D3B4BA
119,Q2BE
120,D4B4BA0
121,D1X
122,D104BA1
123,S2BE
124,D104BA1
125,D1Y
126,D6B4BA0
127,BBVMXS
127,BBVMXS
128,D104BAA
129,D104BAB
130,D104BAC
131,D104BAD
132,BUMP
133,D154BAL
134,BPM
135,DLB4BAL
136,S3E
137,D1S4BA
138,Q3E
139,DHS4BAL1
140,BUMP
141,DHS4BAL2
142,S4E
142,SQUAD
143,HSTR
144,VSTR
145,DHS4BA
146,Q3E
147,D1S4BA
148,S3E
148,SQUAD
149,HSTR
150,VSTR
151,D054BAL
152,BUMP
153,DLBM4BAL1
154,BPM
155,DLBM4BAL2
156,BBVMXL
156,BBVMXL
157,DRBM4BAL1
158,DRBM4BAL2
159,HSTR
160,VSTR
161,DRBM4BA2
162,Q4E
163,SPACER
164,BUMPSS
165,D1M4BAL1
166,D1M4BAL2
167,BPM
168,D104BAML
169,DMID4BAL1
170,DMID4BAL2
171,source
172,DMID4BAR1
173,DMID4BAR2
174,D104BAMR
175,BPM
176,D1M4BA
177,Q4E
178,DRBM4BA2
179,HSTR
180,VSTR
181,DRBM4BAR2
182,BUMP
183,DRBM4BAR1
184,BBVMXL
184,BBVMXL
185,DLBM4BA0
186,D2YA
187,D2YB
188,D2YC
189,DLBM4BA1
190,D054BA
191,S3E
192,D1S4BA
193,Q3E
194,DHS4BAR1
195,BUMP
196,DHS4BAR2
197,BPM
198,DHS4BAR3
199,S4E
199,SQUAD
200,HSTR
201,VSTR
202,DHS4BA
203,Q3E
204,D1S4BA
205,S3E
205,SQUAD
206,HSTR
207,VSTR
208,DLB4BAR
209,BUMP
210,D154BAR
211,BPM
212,D104BAR
213,BBVMXS
213,BBVMXS
214,D6B4BA0
215,D1YB
216,D1YAD1YA
217,D104BA1
218,S2BE
219,D104BA1
220,D1X
221,D4B4BA0
222,Q2BE
223,PAD
224,BUMP
225,D3B4BAR
226,S1BE
226,SQUAD
227,HSTR
228,VSTR
229,D2B4BA
230,Q1BE
231,D104BA0R
232,BUMP
233,D2XR
234,DK4BAS21
235,DK4BAS22
236,DK4BAS23
237,TEMPDRIFT
238,BPM
239,DBPM
240,DRIFT
241,DRIFT
242,HCHICA
243,DRIFT
244,DRIFT
245,DRIFT
246,HTRIM
247,VTRIM
248,DRIFT
249,U21
250,source
251,U21
252,DRIFT
253,HTRIM
254,VTRIM
255,DRIFT
256,DRIFT
257,DRIFT
258,HCHICA
259,DRIFT
260,DRIFT
261,DRIFT
262,HCHICA
263,DRIFT
264,DRIFT
265,DBPM
266,BPM
267,KD1
268,Q1B
269,D2B
270,DSEXT
271,S1B
271,SQUAD
272,HSTR
273,VSTR
274,DSEXT
275,D3B
276,Q2B
277,D4B
278,Q3B
279,D5B
